연번,쉼터명,면적(제곱미터),행정동,주소,운영시간,위도,경도,전화번호,데이터 기준일자,담당부서,담당자
1,가산동주민센터,163.1,가산동,서울특별시 금천구 가산동 144-3 가산동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4768978,126.8917861,02-2627-2502,2024-07-04,어르신장애인과,최은규
2,상록경로당,129,가산동,"서울특별시 금천구 가산동 602-71 가산어린이집,상록경록당","무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4828576,126.884267,02-869-1513,2024-07-04,어르신장애인과,최은규
3,우정경로당,180.21,가산동,서울특별시 금천구 가산동 238-3 가산동제2경노당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4726916,126.8887196,02-862-4898,2024-07-04,어르신장애인과,최은규
4,매봉경로당(일반쉼터),117,가산동,서울특별시 금천구 가산동 148-11 가산매봉노인정,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4756257,126.8955832,02-868-6405,2024-07-04,어르신장애인과,최은규
5,두산아파트 A지역경로당,154.5,가산동,서울특별시 금천구 가산동 769 두산위브아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4752372,126.8922806,02-863-0888,2024-07-04,어르신장애인과,최은규
6,우창경로당,32.03,가산동,서울특별시 금천구 가산동 547-44 우창연립,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4779437,126.8773391,02-857-2559,2024-07-04,어르신장애인과,최은규
7,두산아파트 C지역 경로당,110.43,가산동,서울특별시 금천구 가산동 769 두산위브아파트,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4752372,126.8922806,02-839-3303,2024-07-04,어르신장애인과,최은규
8,가산삼익아파트 경로당,59.4,가산동,서울특별시 금천구 가산동 234-46 가산삼익아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4729911,126.893076,02-852-4507,2024-07-04,어르신장애인과,최은규
9,금천글로벌빌리지센터,30,가산동,서울특별시 금천구 가산동 151-30,코로나19로 무더위쉼터 미운영,37.4760725,126.8931518,02-2627-2884,2024-07-04,어르신장애인과,최은규
10,독산1동주민센터,108,독산1동,서울특별시 금천구 독산동 289-5 독산1동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 평일 21시까지 연장운영, 주말/휴일 09:00~18:00",37.4702147,126.8970353,02-2627-2504,2024-07-04,어르신장애인과,최은규
11,금천장애인종합복지관,617,독산1동,서울특별시 금천구 독산동 1011-1 금천장애인종합복지관,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4639858,126.8963477,02-6912-8000,2024-07-04,어르신장애인과,최은규
12,복지경로당,167,독산1동,서울특별시 금천구 독산동 1010 경로당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4646142,126.8953164,02-808-4490,2024-07-04,어르신장애인과,최은규
13,롯데캐슬골드파크1차경로당,198,독산1동,서울특별시 금천구 독산동 1147 금천롯데캐슬골드파크1차아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4599082,126.8939352,070-4472-9110,2024-07-04,어르신장애인과,최은규
14,철쭉경로당,143.1,독산1동,"서울특별시 금천구 독산동 1112 철쭉경로당, 철쭉공원","무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4528996,126.8896494,02-898-4905,2024-07-04,어르신장애인과,최은규
15,참새경로당,149.3,독산1동,서울특별시 금천구 독산동 1088-2 경로당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4569608,126.8871946,02-809-7150,2024-07-04,어르신장애인과,최은규
16,영보경로당,229.8,독산1동,서울특별시 금천구 독산동 144-60 영보경로문화센터,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4756188,126.8973602,02-863-6019,2024-07-04,어르신장애인과,최은규
17,한신아파트경로당,92.1,독산1동,서울특별시 금천구 독산동 1093-4 한신아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4558526,126.8897219,02-899-7759,2024-07-04,어르신장애인과,최은규
18,주공14단지아파트 경로당,108.9,독산1동,서울특별시 금천구 독산동 1088 주공14단지아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4604242,126.8863376,02-806-4992,2024-07-04,어르신장애인과,최은규
19,금천현대아파트 경로당,150,독산1동,서울특별시 금천구 독산동 711-2 금천현대아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4625026,126.8902351,02-809-1242,2024-07-04,어르신장애인과,최은규
20,계룡아파트 경로당,59.34,독산1동,서울특별시 금천구 독산동 332-14 계룡아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4669066,126.8929516,02-809-0514,2024-07-04,어르신장애인과,최은규
21,진도3차아파트 경로당,36,독산1동,서울특별시 금천구 독산동 1136 진도3차아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4684444,126.8933034,02-802-0661,2024-07-04,어르신장애인과,최은규
22,독산현대아파트 경로당,25,독산1동,서울특별시 금천구 독산동 293-10 독산현대아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4676846,126.8947703,02-806-6443,2024-07-04,어르신장애인과,최은규
23,라이프아파트 꽃마음경로당,120,독산1동,서울특별시 금천구 독산동 1131 독산라이프아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4613098,126.892371,02-802-6898,2024-07-04,어르신장애인과,최은규
24,중앙하이츠아파트 경로당,126,독산1동,서울특별시 금천구 독산동 1140 중앙하이츠아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4648523,126.8888941,02-858-7741,2024-07-04,어르신장애인과,최은규
25,해가든아파트 경로당,50,독산1동,서울특별시 금천구 독산동 1143 이랜드해가든아파트,무더위쉼터 운영시간 : 평일 13:00 ~ 17:00,37.4613177,126.8926762,02-6409-7903,2024-07-04,어르신장애인과,최은규
26,금천한내어르신복지센터,150,독산1동,서울특별시 금천구 독산동 1088-1 주공13단지아파트,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4577246,126.8873951,02-897-5104,2024-07-04,어르신장애인과,최은규
27,세일경로당,110,독산1동,서울특별시 금천구 독산동 147-56,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4747825,126.8961985,02-861-1861,2024-07-04,어르신장애인과,최은규
28,각산아파트 경로당,80,독산1동,서울특별시 금천구 독산동 1093-5 각산아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4560881,126.8871143,02-897-1767,2024-07-04,어르신장애인과,최은규
29,독산2동주민센터,211,독산2동,서울특별시 금천구 독산동 1043-51 독산2동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4631474,126.9034825,02-2627-2506,2024-07-04,어르신장애인과,최은규
30,정훈경로당,106,독산2동,서울특별시 금천구 독산동 378-21 독산2동노인분회,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4668401,126.9064809,02-803-8962,2024-07-04,어르신장애인과,최은규
31,만수경로당,110.7,독산2동,서울특별시 금천구 독산동 1063-14 만수노인정,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4628171,126.9009722,02-894-0502,2024-07-04,어르신장애인과,최은규
32,신일교회,110,독산2동,서울특별시 금천구 독산동 1060-18 신일교회,코로나19로 무더위쉼터 미운영,37.4618111,126.8993058,02-804-2591,2024-07-04,어르신장애인과,최은규
33,목화경로당,153,독산3동,서울특별시 금천구 독산동 883-4,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4775304,126.9065049,02-869-7535,2024-07-04,어르신장애인과,최은규
34,동산경로당,110.7,독산3동,서울특별시 금천구 독산동 993-29 독산3동노인회관분회,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4729277,126.9059995,02-856-3015,2024-07-04,어르신장애인과,최은규
35,구룡경로당,99.84,독산3동,서울특별시 금천구 독산동 952-25,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4791854,126.9022108,02-855-1716,2024-07-04,어르신장애인과,최은규
36,문성경로당,117,독산3동,서울특별시 금천구 독산동 980-44 문성노인정,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4740654,126.9022656,02-856-0776,2024-07-04,어르신장애인과,최은규
37,신도아파트 경로당,92.7,독산3동,서울특별시 금천구 독산동 955 신도아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4772453,126.9001587,02-862-3519,2024-07-04,어르신장애인과,최은규
38,한양수자인아파트 경로당,62.33,독산3동,서울특별시 금천구 독산동 1144 한양수자인아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4757387,126.8990778,02-855-5523,2024-07-04,어르신장애인과,최은규
39,독산3동 주민센터,193,독산3동,서울특별시 금천구 독산동 973-17 독산3동 주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4751754,126.9031926,02-2627-2507,2024-07-04,어르신장애인과,최은규
40,독산4동 주민센터,33,독산4동,서울특별시 금천구 독산동 1022 독산4동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4675694,126.9021738,02-2627-2510,2024-07-04,어르신장애인과,최은규
41,감로천 경로당,150,독산4동,서울특별시 금천구 독산동 917 금천호암노인종합복지관,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4695164,126.9064499,02-853-0844,2024-07-04,어르신장애인과,최은규
42,정심경로당,117,독산4동,서울특별시 금천구 독산동 196-8 정심노인정,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4693739,126.9016746,02-839-8356,2024-07-04,어르신장애인과,최은규
43,동아아파트 경로당,64.74,독산4동,서울특별시 금천구 독산동 183-1 독산동동아아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4702327,126.9064964,02-864-8889,2024-07-04,어르신장애인과,최은규
44,대덕트윈빌아파트 경로당,64,독산4동,서울특별시 금천구 독산동 1028 대덕트윈빌,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4674638,126.8992469,02-868-4464,2024-07-04,어르신장애인과,최은규
45,효정경로당,151.8,시흥1동,서울특별시 금천구 시흥동 870-10,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4575391,126.8999281,02-808-0740,2024-07-04,어르신장애인과,최은규
46,대명경로당,95.88,시흥1동,서울특별시 금천구 시흥동 895-5 시흥본동노인정,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4522233,126.9055918,02-805-9990,2024-07-04,어르신장애인과,최은규
47,새재미경로당,188,시흥1동,서울특별시 금천구 시흥동 855 새재미놀이터,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4588537,126.9042832,02-809-8833,2024-07-04,어르신장애인과,최은규
48,럭키아파트 경로당,151.8,시흥1동,서울특별시 금천구 시흥동 1002-1 럭키아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4482097,126.8989408,02-806-0661,2024-07-04,어르신장애인과,최은규
49,무지개아파트 경로당,151.8,시흥1동,서울특별시 금천구 시흥동 109-1 무지개아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4566465,126.8988055,02-809-2164,2024-07-04,어르신장애인과,최은규
50,성지아파트 경로당,151.8,시흥1동,서울특별시 금천구 시흥동 산173-8 성지아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4511793,126.8981263,02-893-6944,2024-07-04,어르신장애인과,최은규
51,목련아파트 경로당,151.8,시흥1동,서울특별시 금천구 시흥동 1009 시흥목련아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4544475,126.8975438,02-891-3567,2024-07-04,어르신장애인과,최은규
52,시흥베르빌아파트 경로당,151.8,시흥1동,서울특별시 금천구 시흥동 1015 시흥베르빌아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4579598,126.8973294,02-805-4936,2024-07-04,어르신장애인과,최은규
53,힐스테이트 아파트 경로당,224.34,시흥1동,서울특별시 금천구 시흥동 1026 남서울힐스테이트아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4465938,126.9012847,02-802-4996,2024-07-04,어르신장애인과,최은규
54,산돌중앙교회,100,시흥1동,서울특별시 금천구 시흥동 108-31 산돌중앙교회,코로나19로 무더위쉼터 미운영,37.4573182,126.8981178,02-803-1135,2024-07-04,어르신장애인과,최은규
55,금천노인종합복지관,90,시흥1동,서울특별시 금천구 시흥동 558-1 금천노인종합복지관,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4501254,126.8977604,02-804-4058,2024-07-04,어르신장애인과,최은규
56,금천구청(1층 피아노홀),154,시흥1동,서울특별시 금천구 시흥동 1020 금천구청종합청사,코로나19로 무더위쉼터 미운영,37.4570784,126.8957012,02-2627-2300,2024-07-04,어르신장애인과,최은규
57,시흥1동 주민센터,308,시흥1동,서울특별시 금천구 시흥동 886-6 시흥1동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.453555,126.9032604,02-2627-2514,2024-07-04,어르신장애인과,최은규
58,시흥2동 주민센터,48,시흥2동,서울특별시 금천구 시흥동 267-9 금천종합복지타운(시흥2동주민센터),"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4496193,126.9147886,02-2627-2516,2024-07-04,어르신장애인과,최은규
59,청담종합사회복지관,243,시흥2동,서울특별시 금천구 시흥동 241-7,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4512664,126.9140559,02-806-1377,2024-07-04,어르신장애인과,최은규
60,산장경로당,199,시흥2동,서울특별시 금천구 시흥동 243-31 시흥2동 경로당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4508161,126.9138934,02-894-1140,2024-07-04,어르신장애인과,최은규
61,벽산아파트 1단지 경로당,168.43,시흥2동,서울특별시 금천구 시흥동 1010 벽산아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4506334,126.9190491,02-893-6622,2024-07-04,어르신장애인과,최은규
62,산복경로당,220,시흥2동,서울특별시 금천구 시흥동 1010 벽산아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4506334,126.9190491,02-806-7867,2024-07-04,어르신장애인과,최은규
63,벽산아파트 3단지 경로당,82.62,시흥2동,서울특별시 금천구 시흥동 1006 벽산3단지아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4534029,126.9176126,070-8153-5202,2024-07-04,어르신장애인과,최은규
64,벽산아파트 5단지 경로당,167,시흥2동,서울특별시 금천구 시흥동 1013 벽산5단지아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4487957,126.919212,02-809-2031,2024-07-04,어르신장애인과,최은규
65,벽산타운 경로당,70,시흥2동,서울특별시 금천구 시흥동 1013 벽산5단지아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4487957,126.919212,02-809-2037,2024-07-04,어르신장애인과,최은규
66,벽산아파트 6단지 경로당,138.84,시흥2동,서울특별시 금천구 시흥동 1013-4 벽산6단지아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4494494,126.9166447,02-808-8795,2024-07-04,어르신장애인과,최은규
67,관악우방아파트 경로당,112.5,시흥2동,서울특별시 금천구 시흥동 1011,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4490446,126.9141297,02-893-6668,2024-07-04,어르신장애인과,최은규
68,탑스빌아파트 경로당,32.4,시흥2동,서울특별시 금천구 시흥동 268-46 탑스빌아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4493216,126.9157047,02-808-0507,2024-07-04,어르신장애인과,최은규
69,시흥3동 주민센터,"1,344.00",시흥3동,서울특별시 금천구 시흥동 956-3 시흥3동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4402733,126.9058116,02-2627-2518,2024-07-04,어르신장애인과,최은규
70,금산경로당,148.4,시흥3동,서울특별시 금천구 시흥동 948-14,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4413152,126.9071784,02-803-4207,2024-07-04,어르신장애인과,최은규
71,박산경로당,158.4,시흥3동,서울특별시 금천구 시흥동 973 시흥제3동박산경노당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4350453,126.9065512,02-808-5054,2024-07-04,어르신장애인과,최은규
72,현대빌라경로당,26.4,시흥3동,서울특별시 금천구 시흥동 982 현대빌라,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4396345,126.9019646,02-896-5820,2024-07-04,어르신장애인과,최은규
73,중앙하이츠경로당,126,시흥3동,서울특별시 금천구 시흥동 1005 중앙시흥하이츠빌라,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4447571,126.9065143,02-807-8954,2024-07-04,어르신장애인과,최은규
74,삼익아파트 경로당,95.07,시흥4동,서울특별시 금천구 시흥동 5-13 삼익아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4636755,126.9094546,02-806-3332,2024-07-04,어르신장애인과,최은규
75,장수경로당,333,시흥4동,서울특별시 금천구 시흥동 8-9 장수경로당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4628402,126.9076142,02-808-4047,2024-07-04,어르신장애인과,최은규
76,경남아파트 경로당,44.61,시흥4동,서울특별시 금천구 시흥동 820-12 경남아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4546437,126.9063696,02-892-2434,2024-07-04,어르신장애인과,최은규
77,금강아파트 경로당,47.69,시흥4동,서울특별시 금천구 시흥동 1008 금강아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4629894,126.9083332,02-809-2512,2024-07-04,어르신장애인과,최은규
78,신흥경로당,148,시흥4동,서울특별시 금천구 시흥동 산126-13 신흥경로당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4570197,126.9073572,02-895-9555,2024-07-04,어르신장애인과,최은규
79,새재미마을활력소,150,시흥4동,서울특별시 금천구 시흥동 3-83 백산지구대,코로나19로 무더위쉼터 미운영,37.4623196,126.9101918,02-802-0254,2024-07-04,어르신장애인과,최은규
80,시흥4동주민센터,30,시흥4동,서울특별시 금천구 시흥동 812-38 시흥4동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4589953,126.9062095,02-2627-2520,2024-07-04,어르신장애인과,최은규
81,읍내경로당,95,시흥5동,서울특별시 금천구 시흥동 921-29 구립읍내경로당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4504077,126.9063466,02-805-0250,2024-07-04,어르신장애인과,최은규
82,건영아파트 경로당,75.9,시흥5동,서울특별시 금천구 시흥동 384-12 건영아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4494593,126.9108624,02-808-3631,2024-07-04,어르신장애인과,최은규
83,신도브래뉴아파트 경로당,37.8,시흥5동,서울특별시 금천구 시흥동 1017 관악신도브래뉴,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4479118,126.910516,02-807-3100,2024-07-04,어르신장애인과,최은규
84,탑동경로당,118.8,시흥5동,서울특별시 금천구 시흥동 828-48 탑동경로당,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4515062,126.90956,02-803-8488,2024-07-04,어르신장애인과,최은규
85,백운한비치1차아파트 경로당,25,시흥5동,서울특별시 금천구 시흥동 1012 백운한비치아파트,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4515746,126.9117483,02-6408-9993,2024-07-04,어르신장애인과,최은규
86,백운한비치2차아파트 경로당,21,시흥5동,서울특별시 금천구 시흥동 1018 백운한비치Ⅱ,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4536004,126.9097256,02-807-3100,2024-07-04,어르신장애인과,최은규
87,시흥5동 주민센터,711,시흥5동,서울특별시 금천구 시흥동 832-14 시흥5동주민센터,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4524034,126.9083146,02-2627-2522,2024-07-04,어르신장애인과,최은규
88,금천호암노인종합복지관,779,독산4동,서울특별시 금천구 독산동 917 금천호암노인종합복지관,"무더위쉼터 운영시간 : 평일 09:00 ~ 18:00 폭염특보 발령시 연장운영 (평일 21시까지, 주말/휴일 09:00~18:00)",37.4695164,126.9064499,02-853-2823,2024-07-04,어르신장애인과,최은규
